Report Type,Taxonomy ID (Long Format),Item Name (VI),Unified UI Column,VCI Old Key,MAS Old Key,KBS Old Key
balance_sheet,BS_CASH_AND_PRECIOUS_METALS,Tiền và các khoản tương đương tiền,tien_va_cac_khoan_tuong_duong_tien,tien_va_cac_khoan_tuong_duong_tien,i_cash_gold_and_silver_precious_stones,i_cash_gold_and_silver_precious_stones | 1_cash_and_cash_equivalents | i_cash_and_cash_equivalents
balance_sheet,BS_FIXED_ASSETS,Tài sản cố định,fixed_assets,tai_san_co_dinh,x_fixed_assets | ix_fixed_assets | ii_fixed_assets,x_fixed_assets | ii_fixed_assets
balance_sheet,BS_TANGIBLE_FIXED_ASSETS,Tài sản cố định hữu hình,tangible_fixed_assets,tai_san_co_dinh_huu_hinh,1_tangible_fixed_assets,1_tangible_fixed_assets
balance_sheet,BS_TANGIBLE_FIXED_ASSETS_COST,Nguyên giá,nguyen_gia,nguyen_gia,a_cost | cost,a_cost | cost
balance_sheet,BS_TANGIBLE_FIXED_ASSETS_ACCUMULATED_DEPRECIATION,Giá trị hao mòn luỹ kế,gia_tri_hao_mon_luy_ke,gia_tri_hao_mon_luy_ke,b_accumulated_depreciation | accumulated_depreciation,b_accumulated_depreciation | accumulated_depreciation
balance_sheet,BS_FINANCE_LEASE_FIXED_ASSETS,Tài sản cố định thuê tài chính,tai_san_co_dinh_thue_tai_chinh,tai_san_co_dinh_thue_tai_chinh,,2_financial_leased_fixed_assets
balance_sheet,BS_FINANCE_LEASE_FIXED_ASSETS_COST,Nguyên giá,nguyen_gia,nguyen_gia,,
balance_sheet,BS_FINANCE_LEASE_FIXED_ASSETS_ACCUMULATED_DEPRECIATION,Giá trị hao mòn luỹ kế,gia_tri_hao_mon_luy_ke,gia_tri_hao_mon_luy_ke,,
balance_sheet,BS_INTANGIBLE_FIXED_ASSETS,Tài sản cố định vô hình,intangible_fixed_assets,tai_san_co_dinh_vo_hinh,3_intangible_fixed_assets,3_intangible_fixed_assets
balance_sheet,BS_INTANGIBLE_FIXED_ASSETS_COST,Nguyên giá,nguyen_gia,nguyen_gia,,
balance_sheet,BS_INTANGIBLE_FIXED_ASSETS_ACCUMULATED_DEPRECIATION,Giá trị hao mòn luỹ kế,gia_tri_hao_mon_luy_ke,gia_tri_hao_mon_luy_ke,,
balance_sheet,BS_INVESTMENT_PROPERTIES,Bất động sản đầu tư,investment_properties,bat_dong_san_dau_tu,xi_investment_properties | x_investment_properties | iii_investment_property | iii_investment_properties | iv_investment_properties,xi_investment_properties | iii_investment_properties | iv_investment_properties
balance_sheet,BS_INVESTMENT_PROPERTIES_COST,Nguyên giá,nguyen_gia,nguyen_gia,,
balance_sheet,BS_INVESTMENT_PROPERTIES_ACCUMULATED_DEPRECIATION,Giá trị hao mòn luỹ kế,gia_tri_hao_mon_luy_ke,gia_tri_hao_mon_luy_ke,,
balance_sheet,BS_LONG_TERM_INVESTMENTS,"Góp vốn, đầu tư dài hạn",gop_von_dau_tu_dai_han,gop_von_dau_tu_dai_han,ix_capital_contribution_and_other_long_term_investments | viii_capital_contribution_and_other_long_term_investments,ix_capital_contribution_and_other_long_term_investments | 2_long_term_investments | iv_long_term_investments | vi_long_term_financial_investments
balance_sheet,BS_INVESTMENTS_IN_JOINT_VENTURES,Đầu tư vào công ty liên doanh,dau_tu_vao_cong_ty_lien_doanh,dau_tu_vao_cong_ty_lien_doanh,2_investments_in_associates_joint_ventures | 2_3_investments_in_associates_joint_ventures,2_investments_in_associates_joint_ventures | 2_3_investments_in_associates_joint_ventures
balance_sheet,BS_OTHER_LONG_TERM_INVESTMENTS,Đầu tư dài hạn khác,other_long_term_investments,dau_tu_dai_han_khac,,3_other_long_term_investments | 2_5_other_long_term_investments | 3_investments_in_other_entities
balance_sheet,BS_PROVISION_LONG_TERM_INVESTMENTS,Dự phòng giảm giá đầu tư dài hạn,du_phong_giam_gia_dau_tu_dai_han,du_phong_giam_gia_dau_tu_dai_han,4_allowance_for_long_term_investment_loss_in_other_entities,4_provision_for_diminution_in_value_of_long_term_investments | 4_allowance_for_long_term_investment_loss_in_other_entities
balance_sheet,BS_TOTAL_ASSETS,TỔNG CỘNG TÀI SẢN,total_assets,tong_cong_tai_san,total_assets,total_assets | total_owner_s_equity_and_liabilities
balance_sheet,BS_TOTAL_LIABILITIES,TỔNG NỢ PHẢI TRẢ,tong_no_phai_tra,tong_no_phai_tra,total_liabilities | a_liabilities | c_liabilities,total_liabilities | a_liabilities | c_liabilities
balance_sheet,BS_EQUITY,VỐN CHỦ SỞ HỮU,von_chu_so_huu,von_chu_so_huu,b_owner_s_equity_400_410_420,viii_capital_and_reserves | b_owner_s_equity_400_410_420 | i_owner_s_equity | d_owner_s_equity
balance_sheet,BS_CHARTER_CAPITAL,Vốn điều lệ,von_dieu_le,von_dieu_le,a_charter_capital | 1_1_capital_from_owners | 1_capital_from_owners | 1_owner_s_capital,a_charter_capital | 1_1_capital_from_owners | common_stock_with_voting_right | 1_owner_s_capital
balance_sheet,BS_SHARE_PREMIUM,Thặng dư vốn cổ phần,share_premium,thang_du_von_co_phan,c_share_premium | 1_2_share_premium | 2_share_premium,c_share_premium | 1_2_share_premium | 2_share_premium
balance_sheet,BS_OTHER_CAPITAL,Vốn khác,von_khac,von_khac,g_other_capital,g_other_capital | 4_treasury_shares | 4_other_capital_of_owners
balance_sheet,BS_TREASURY_SHARES,Cổ phiếu quỹ,treasury_shares,co_phieu_quy,d_treasury_shares | 1_5_treasury_shares | 4_treasury_shares | 5_treasury_shares,1_5_treasury_shares | 4_treasury_shares | 5_treasury_shares
balance_sheet,BS_ASSET_REVALUATION_DIFFERENCES,Chênh lệch đánh giá lại tài sản,chenh_lech_danh_gia_lai_tai_san,chenh_lech_danh_gia_lai_tai_san,4_assets_revaluation_differences | 2_assets_revaluation_differences | 5_assets_revaluation_differences | 6_assets_revaluation_differences,2_assets_revaluation_differences | 6_assets_revaluation_differences
balance_sheet,BS_FOREIGN_EXCHANGE_DIFFERENCES,Chênh lệch tỷ giá hối đoái,foreign_exchange_differences,chenh_lech_ty_gia_hoi_doai,3_foreign_exchange_differences | 6_foreign_exchange_differences | 7_foreign_exchange_differences,3_foreign_exchange_differences | 6_foreign_exchange_differences | 7_foreign_exchange_differences
balance_sheet,BS_RETAINED_EARNINGS,Lợi nhuận sau thuế chưa phân phối,loi_nhuan_sau_thue_chua_phan_phoi,loi_nhuan_sau_thue_chua_phan_phoi,5_undistributed_earnings_after_tax_accumulated_loss | 7_undistributed_earnings_after_tax | 11_undistributed_earnings_after_tax | 10_undistributed_earnings_after_tax,5_undistributed_earnings_after_tax_accumulated_loss | 7_undistributed_earnings_after_tax | 11_undistributed_earnings_after_tax | 10_undistributed_earnings_after_tax
balance_sheet,BS_TOTAL_LIABILITIES_AND_EQUITY,TỔNG CỘNG NGUỒN VỐN,tong_cong_nguon_von,tong_cong_nguon_von,,total_assets | total_owner_s_equity_and_liabilities
balance_sheet,BS_BALANCES_WITH_SBV,Tiền gửi tại Ngân hàng nhà nước Việt Nam,tien_gui_tai_ngan_hang_nha_nuoc_viet_nam,tien_gui_tai_ngan_hang_nha_nuoc_viet_nam,,ii_balances_with_the_state_bank_of_vietnam
balance_sheet,BS_PLACEMENTS_AND_LOANS_TO_CREDIT_INSTITUTIONS,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,tien_gui_tai_cac_tctd_khac_va_cho_vay_cac_tctd_khac,tien_gui_tai_cac_tctd_khac_va_cho_vay_cac_tctd_khac,iii_placements_at_and_loans_to_other_credit_institutions,iii_placements_at_and_loans_to_other_credit_institutions
balance_sheet,BS_TRADING_SECURITIES,Chứng khoán kinh doanh,trading_securities,chung_khoan_kinh_doanh,,iv_trading_securities
balance_sheet,BS_TRADING_SECURITIES_GROSS,Chứng khoán kinh doanh,chung_khoan_kinh_doanh,chung_khoan_kinh_doanh,,1_trading_securities
balance_sheet,BS_PROVISION_TRADING_SECURITIES,Dự phòng giảm giá chứng khoán kinh doanh,du_phong_giam_gia_chung_khoan_kinh_doanh,du_phong_giam_gia_chung_khoan_kinh_doanh,2_provisions_for_diminution_in_value_of_trading_securities,2_provisions_for_diminution_in_value_of_trading_securities
balance_sheet,BS_DERIVATIVES_AND_OTHER_FINANCIAL_ASSETS,Các công cụ tài chính phái sinh và các tài sản tài chính khác,cac_cong_cu_tai_chinh_phai_sinh_va_cac_tai_san_tai_chinh_khac,cac_cong_cu_tai_chinh_phai_sinh_va_cac_tai_san_tai_chinh_khac,v_derivatives_and_other_financial_assets,"{'id': 'v_derivatives_and_other_financial_assets', 'votes': 5}"
balance_sheet,BS_LOANS_TO_CUSTOMERS,Cho vay khách hàng,cho_vay_khach_hang,cho_vay_khach_hang,vi_loans_advances_and_finance_leases_to_customers,vi_loans_advances_and_finance_leases_to_customers
balance_sheet,BS_LOANS_TO_CUSTOMERS_GROSS,Cho vay khách hàng,cho_vay_khach_hang,cho_vay_khach_hang,1_loans_advances_and_finance_leases_to_customers,1_loans_advances_and_finance_leases_to_customers
balance_sheet,BS_PROVISION_LOANS_TO_CUSTOMERS,Dự phòng rủi ro cho vay khách hàng,du_phong_rui_ro_cho_vay_khach_hang,du_phong_rui_ro_cho_vay_khach_hang,2_provisions_for_losses_on_loans_advances_and_finance_leases_to_customers,2_provisions_for_losses_on_loans_advances_and_finance_leases_to_customers
balance_sheet,BS_INVESTMENT_SECURITIES,Chứng khoán đầu tư,investment_securities,chung_khoan_dau_tu,,viii_investment_securities
balance_sheet,BS_AVAILABLE_FOR_SALE_SECURITIES,Chứng khoán đầu tư sẵn sàng để bán,available_for_sale_securities,chung_khoan_dau_tu_san_sang_de_ban,,1_available_for_sales_securities
balance_sheet,BS_HELD_TO_MATURITY_SECURITIES,Đầu tư nắm giữ đến ngày đáo hạn,dau_tu_nam_giu_den_ngay_dao_han,dau_tu_nam_giu_den_ngay_dao_han,3_held_to_maturity_investments_htm | 3_short_term_held_to_maturity_investments,2_held_to_maturity_securities | 3_held_to_maturity_investments_htm | 3_held_to_maturity_investments | 3_short_term_held_to_maturity_investments
balance_sheet,BS_PROVISION_INVESTMENT_SECURITIES,Dự phòng giảm giá chứng khoán đầu tư,du_phong_giam_gia_chung_khoan_dau_tu,du_phong_giam_gia_chung_khoan_dau_tu,3_provisions_for_diminution_in_value_of_investment_securities,3_provisions_for_diminution_in_value_of_investment_securities
balance_sheet,BS_OTHER_ASSETS,Tài sản Có khác,other_assets,tai_san_co_khac,4_other_assets | xii_other_assets | xi_other_assets,xii_other_assets
balance_sheet,BS_DUE_TO_GOVERNMENT_AND_SBV,Các khoản nợ chính phủ và NHNN Việt Nam,cac_khoan_no_chinh_phu_va_nhnn_viet_nam,cac_khoan_no_chinh_phu_va_nhnn_viet_nam,i_due_to_government_and_borrowings_from_the_state_bank_of_vietnam,i_due_to_government_and_borrowings_from_the_state_bank_of_vietnam
